acc accm amloc an anpm asom auv bd bf cbo da dbz df dit dnp dupv fgbo lcom4 loc mlk mmloc noa noc nom npa npm obaa osf pitfc rfc rogu rsva saigv sc ua uaf uav
dflow 65 10.28125 39.5625 0 1.71875 0 0 0 0 3 0 0 0 0 0 0 0 1 1266 0 524 62 0 32 62 32 0 0 0 295 0 0 0 3 0 0 0
dtags 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
heap 7 1.11111111111111 18.6666666666667 0 1.22222222222222 0 0 0 0 0 0 0 0 0 0 0 0 2 168 0 63 15 0 9 15 9 0 0 0 40 0 0 0 0 0 0 0
lexer 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 4 4 0 1 4 0 4 4 4 0 0 0 4 0 0 0 0 0 0 0
nmetab 87 1.4 15.4 0 1.2 0 0 0 0 0 0 0 0 0 0 0 0 1 77 0 28 5 0 5 5 5 0 0 0 15 0 0 0 0 0 0 0
prnttree 3 9.66666666666667 69.8333333333333 0 1.5 0 0 0 0 3 0 0 0 0 0 0 0 6 838 0 507 7 0 12 7 12 0 0 0 56 0 0 0 18 0 0 0
symtab 135 2.42622950819672 11.9508196721311 0 1.60655737704918 0 0 0 0 3 0 0 0 0 0 0 0 8 729 0 48 50 0 61 50 61 0 0 0 309 0 0 0 24 0 0 0
token 0 1 246 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 246 0 246 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
tree 133 9.88235294117647 37.5882352941176 0 1.52941176470588 0 0 0 0 3 0 0 0 0 0 0 0 3 639 0 120 40 0 17 40 17 0 0 0 145 0 0 0 9 0 0 0
treestk 9 2.26315789473684 11.2105263157895 0 1.31578947368421 0 0 0 0 1 0 0 0 0 0 0 0 2 213 0 39 16 0 19 16 19 0 0 0 81 0 0 0 2 0 0 0
uno 0 5.875 30 0 1.25 0 0 0 0 0 0 0 0 0 0 0 0 1 240 0 107 12 0 8 12 8 0 0 0 44 0 0 0 0 0 0 0
uno_bounds 15 4.23529411764706 33.3529411764706 0 1.80392156862745 0 0 0 0 8 0 0 0 0 0 0 0 2 1701 0 246 27 0 51 27 51 0 0 0 475 0 0 0 16 0 0 0
uno_fcts 4 7.4468085106383 27.8723404255319 0 1.51063829787234 0 0 0 0 2 0 0 0 0 0 0 0 1 1310 0 107 72 0 47 72 47 0 0 0 405 0 0 0 2 0 0 0
uno_generic 6 8.48076923076923 32.9038461538462 0 2.17307692307692 0 0 0 0 8 0 0 0 0 0 0 0 2 1711 0 103 55 0 52 55 52 0 0 0 654 0 0 0 16 0 0 0
uno_global 4 4.91176470588235 23.1470588235294 0 1.64705882352941 0 0 0 0 2 0 0 0 0 0 0 0 1 787 0 82 40 0 34 40 34 0 0 0 267 0 0 0 2 0 0 0
uno_intervals 4 10.5833333333333 36.1666666666667 0 2 0 0 0 0 5 0 0 0 0 0 0 0 1 434 0 111 3 0 12 3 12 0 0 0 93 0 0 0 5 0 0 0
uno_local 2 5.57894736842105 61.1052631578947 0 1.26315789473684 0 0 0 0 8 0 0 0 0 0 0 0 3 1161 0 524 39 0 19 39 19 0 0 0 211 0 0 0 24 0 0 0
uno_lts 58 6.37820512820513 27.0384615384615 0 1.57051282051282 0 0 0 0 9 0 0 0 0 0 0 0 6 4218 0 246 128 0 156 128 156 0 0 0 1580 0 0 0 54 0 0 0
uno_version 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
