acc accm amloc an anpm asom auv bd bf cbo da dbz df dit dnp dupv fgbo lcom4 loc mlk mmloc noa noc nom npa npm obaa osf pitfc rfc rogu rsva saigv sc ua uaf uav
com::ibm::wala::cast::java::test::PolyglotJavaIRTest 0 1 7 0 1.5 0 0 0 0 4 0 0 0 2 0 0 0 2 14 0 11 0 0 2 0 1 0 0 0 6 0 0 0 8 0 0 0
com::ibm::wala::cast::java::test::PolyglotJLexTest 0 1 11 0 3 0 0 0 0 4 0 0 0 2 0 0 0 1 11 0 11 0 0 1 0 0 0 0 0 5 0 0 0 4 0 0 0
com::ibm::wala::cast::java::test::PolyglotSyncDuplicatorTest 0 1 24 0 3 0 0 0 0 6 0 0 0 2 0 0 0 1 24 0 24 0 0 1 0 0 0 0 0 7 0 0 0 6 0 0 0
com::ibm::wala::cast::java::translator::polyglot::AscriptionGoal 0 2 16 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 16 0 16 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
com::ibm::wala::cast::java::translator::polyglot::ASTTraverser 0 28.5 59 0 1.5 0 0 0 0 1 0 0 0 0 0 0 0 2 118 0 116 0 0 2 0 1 0 0 0 3 0 0 0 2 0 0 0
com::ibm::wala::cast::java::translator::polyglot::IRGoal 0 1 11.3333333333333 0 0.666666666666667 0 0 0 0 2 0 0 0 1 0 0 0 2 34 0 18 3 0 3 0 3 0 0 0 8 0 0 0 4 0 0 0
com::ibm::wala::cast::java::translator::polyglot::IRTranslatorExtension 3 1 1 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 4 4 0 1 0 1 4 0 4 0 0 0 4 0 0 0 0 0 0 0
com::ibm::wala::cast::java::translator::polyglot::JavaIRTranslatorExtension 2 1.16666666666667 5 0 0.333333333333333 0 0 0 0 1 0 0 0 1 0 0 0 3 30 0 14 3 1 6 0 5 0 0 0 13 0 0 0 3 0 0 0
com::ibm::wala::cast::java::translator::polyglot::ModuleSource 0 1 25 0 1 0 0 0 0 2 0 0 0 1 0 0 0 1 25 0 25 1 0 1 0 1 0 0 0 5 0 0 0 2 0 0 0
com::ibm::wala::cast::java::translator::polyglot::PolyglotClassLoaderFactory 0 1.33333333333333 6 0 2.33333333333333 0 0 0 0 3 0 0 0 2 0 0 0 1 18 0 11 1 0 3 0 1 0 0 0 11 0 0 0 3 0 0 0
com::ibm::wala::cast::java::translator::polyglot::PolyglotIdentityMapper 16 1.76923076923077 9.61538461538461 0 1.07692307692308 0 0 0 0 1 0 0 0 1 0 0 0 1 125 0 32 5 0 13 0 12 0 0 0 38 0 0 0 1 0 0 0
com::ibm::wala::cast::java::translator::polyglot::PolyglotJava2CAstTranslator 67 2.81578947368421 11 0 3.28947368421053 0 0 0 0 11 0 0 0 0 0 0 0 5 418 0 68 14 0 38 0 2 0 0 0 178 0 0 0 55 0 0 0
com::ibm::wala::cast::java::translator::polyglot::PolyglotJava2CAstTranslator::JavaTranslatingVisitorImpl 0 2.49230769230769 15.2615384615385 0 2 0 0 0 0 19 0 0 0 1 0 0 0 44 992 0 62 0 0 65 0 56 0 0 0 480 0 0 0 836 0 0 0
