acc accm amloc an anpm asom auv bd bf cbo da dbz df dit dnp dupv fgbo lcom4 loc mlk mmloc noa noc nom npa npm obaa osf pitfc rfc rogu rsva saigv sc ua uaf uav
com::ibm::wala::cast::java::test::IRTests 34 2.07692307692308 9.76923076923077 0 1.46153846153846 0 0 0 0 6 0 0 0 2 0 0 0 5 127 0 32 4 3 13 1 3 0 0 0 32 0 0 0 30 0 0 0
com::ibm::wala::cast::java::test::IRTests::IRAssertion 2 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 2 1 0 1 0 0 0 1 0 0 0 0 0 0 0
com::ibm::wala::cast::java::test::IRTests::EdgeAssertions 0 2.16666666666667 11.5 0 2.66666666666667 0 0 0 0 3 0 0 0 1 0 0 0 3 69 0 39 2 0 6 2 6 0 0 0 14 0 0 0 9 0 0 0
com::ibm::wala::cast::java::test::IRTests::SourceMapAssertion 0 5.5 7 0 2 0 0 0 0 5 0 0 0 1 0 0 0 2 14 0 9 3 0 2 0 1 0 0 0 12 0 0 0 10 0 0 0
com::ibm::wala::cast::java::test::JavaIRTests 0 1.18181818181818 13.4848484848485 0 0.181818181818182 0 0 0 0 15 0 0 0 3 0 0 0 27 445 0 54 0 0 33 0 28 0 0 0 203 0 0 0 405 0 0 0
com::ibm::wala::cast::java::test::JLexTest 0 1 3.8 0 0.4 0 0 0 0 2 0 0 0 3 0 0 0 5 19 0 7 0 0 5 0 2 0 0 0 10 0 0 0 10 0 0 0
com::ibm::wala::cast::java::test::SyncDuplicatorTest 0 1 6 0 0.4 0 0 0 0 3 0 0 0 3 0 0 0 5 30 0 18 1 0 5 0 2 0 0 0 13 0 0 0 15 0 0 0
com::ibm::wala::cast::java::test::TestPlugin 0 1 3.25 0 0.5 0 0 0 0 0 0 0 0 1 0 0 0 2 13 0 4 1 0 4 0 4 0 0 0 7 0 0 0 0 0 0 0
AnonymousClass 0 1 19 0 0.5 0 0 0 0 1 0 0 0 0 0 0 0 1 38 0 24 0 0 2 0 2 0 0 0 7 0 0 0 1 0 0 0
AnonymousClass::Foo 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 1 0 0 2 0 2 0 0 0 2 0 0 0 0 0 0 0
Array1 0 2 8.5 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 1 17 0 13 0 0 2 0 2 0 0 0 3 0 0 0 0 0 0 0
ArrayLiteral1 0 1 6 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 6 0 6 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
ArrayLiteral2 0 1 5 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 5 0 5 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
Casts 0 1 11 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 22 0 19 0 0 2 0 1 0 0 0 3 0 0 0 0 0 0 0
Exception1 0 3 17 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 17 0 17 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
FooEx1 0 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 3 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
FooEx2 0 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 3 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
BadLanguageExceptionEx1 0 1 3 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 3 0 3 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
Exception2 0 7 36 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 36 0 36 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
Finally1 0 3 11 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 11 0 11 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
FooF1 0 1 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 5 0 5 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
BadLanguageExceptionF1 0 1 3 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 3 0 3 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
Finally2 0 2 12 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 12 0 12 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
FooF2 0 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 6 0 3 0 0 2 0 2 0 0 0 2 0 0 0 0 0 0 0
BadLanguageExceptionF2 0 1 3 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 3 0 3 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
Inheritance1 0 1 10 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 10 0 10 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
Base 1 1 3 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 2 6 0 3 0 1 2 0 2 0 0 0 2 0 0 0 0 0 0 0
Derived 0 1 3 0 0.5 0 0 0 0 0 0 0 0 1 0 0 0 2 6 0 3 0 0 2 0 2 0 0 0 2 0 0 0 0 0 0 0
InheritedField 0 1 7 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 7 0 7 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
A 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
B 0 1 3 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 6 0 3 0 0 2 0 2 0 0 0 2 0 0 0 0 0 0 0
InnerClass 0 1 3 0 0.75 0 0 0 0 0 0 0 0 0 0 0 0 1 12 0 3 0 0 4 0 4 0 0 0 7 0 0 0 0 0 0 0
InnerClass::WhatsThat 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
InnerClass::WhatsIt 0 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 8 0 5 1 0 2 0 1 0 0 0 2 0 0 0 0 0 0 0
InnerClass::WhatsIt::NotAgain 0 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 3 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
InterfaceTest1 0 1 5 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 5 0 5 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
IFoo 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0
Foo 0 1 3 0 0.5 0 0 0 0 0 0 0 0 1 0 0 0 2 6 0 3 1 0 2 0 2 0 0 0 2 0 0 0 0 0 0 0
LocalClass 0 1 15 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 1 30 0 16 0 0 2 0 2 0 0 0 3 0 0 0 0 0 0 0
MiniaturList 0 2.25 11 0 1.25 0 0 0 0 0 0 0 0 0 0 0 0 1 44 0 18 0 0 4 0 4 0 0 0 7 0 0 0 0 0 0 0
PrimitiveWrapper 1 1 1 0 0.666666666666667 0 0 0 0 0 0 0 0 0 0 0 0 3 3 0 1 0 1 3 0 3 0 0 0 3 0 0 0 0 0 0 0
IntWrapper 0 1 3 0 0.75 0 0 0 0 0 0 0 0 1 0 0 0 4 12 0 3 1 0 4 0 4 0 0 0 4 0 0 0 0 0 0 0
MiniaturSliceBug 0 1 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 8 0 5 0 0 2 0 2 0 0 0 2 0 0 0 0 0 0 0
Monitor 0 1 1.66666666666667 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 2 5 0 3 0 0 3 0 3 0 0 0 4 0 0 0 0 0 0 0
Monitor2 0 1 2 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 3 8 0 3 0 0 4 0 3 0 0 0 5 0 0 0 0 0 0 0
p::NonPrimaryTopLevel 0 1 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 4 0 4 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
p::Foo 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
QualifiedStatic 0 1 5 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 5 0 5 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
FooQ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Scoping1 0 1 11 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 11 0 11 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
