acc accm amloc an anpm asom auv bd bf cbo da dbz df dit dnp dupv fgbo lcom4 loc mlk mmloc noa noc nom npa npm obaa osf pitfc rfc rogu rsva saigv sc ua uaf uav
org::homeunix::wap::CodeInjection::buildWalkerTree_CodeInj 0 2 10 0 12 0 0 0 0 1 0 0 0 0 0 0 0 1 10 0 10 0 0 1 0 1 0 0 0 2 0 0 0 1 0 0 0
org::homeunix::wap::CodeInjection::FuncAndIncCodeInj 3 18.5454545454545 101.818181818182 0 6.72727272727273 0 0 0 0 22 0 0 0 3 0 0 0 3 1120 0 435 0 0 11 0 7 0 0 0 187 0 0 0 66 0 0 0
org::homeunix::wap::CodeInjection::GlobalDataCodeInj 17 2.75 9.5 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 4 38 0 12 24 0 4 19 4 0 0 0 8 0 0 0 0 0 0 0
org::homeunix::wap::CodeInjection::MethodSymbolCodeInj 4 12.6 78.4 0 6.2 0 0 0 0 16 0 0 0 4 0 0 0 3 392 0 200 0 0 5 0 3 0 0 0 110 0 0 0 48 0 0 0
org::homeunix::wap::CodeInjection::OutputAnalysisCodeInj 0 22.3333333333333 163 0 3.66666666666667 0 0 0 0 9 0 0 0 0 0 0 0 1 489 0 224 0 0 3 0 2 0 0 0 35 0 0 0 9 0 0 0
org::homeunix::wap::CodeInjection::VulnerabilityPathCodeInj 1 3.17241379310345 16 0 3.27586206896552 0 0 0 0 15 0 0 0 2 0 0 0 21 464 0 149 0 0 29 0 25 0 0 0 128 0 0 0 315 0 0 0
org::homeunix::wap::datamining::FP_Attributes 8 6 29.4615384615385 0 1.76923076923077 0 0 0 0 4 0 0 0 0 0 0 0 6 383 0 122 0 0 13 0 5 0 0 0 37 0 0 0 24 0 0 0
org::homeunix::wap::datamining::FP_Attributes::collect_atts 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
org::homeunix::wap::datamining::GlobalDataDatamining 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0
org::homeunix::wap::php::parser::CodeInjection 1 23.7093023255814 135.162790697674 0 0.244186046511628 0 0 0 0 15 0 0 0 1 0 0 0 86 11624 0 2420 452 0 86 441 84 0 0 0 305 0 0 0 1290 0 0 0
org::homeunix::wap::php::parser::CodeInjection::prog_return 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
org::homeunix::wap::php::parser::CodeInjection::statement_return 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
org::homeunix::wap::php::parser::CodeInjection::classDefinition_return 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
org::homeunix::wap::php::parser::CodeInjection::className_return 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
org::homeunix::wap::php::parser::CodeInjection::extendsclass_return 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
org::homeunix::wap::php::parser::CodeInjection::classImplements_return 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
org::homeunix::wap::php::parser::CodeInjection::classMember_return 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
org::homeunix::wap::php::parser::CodeInjection::definitionAttribute_return 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
org::homeunix::wap::php::parser::CodeInjection::classModifier_return 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
org::homeunix::wap::php::parser::CodeInjection::fieldModifier_return 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
org::homeunix::wap::php::parser::CodeInjection::value_return 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
org::homeunix::wap::php::parser::CodeInjection::complexStatement_return 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
org::homeunix::wap::php::parser::CodeInjection::catchStatement_return 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
