id,name,url,download,mentions,cite,use,contribute,years_mentions,delta_mentions,stage,releases,years_releases,delta_releases,source_code,license,delta_all,birth,age,modules
s1,2LS,yes,yes,1,0,0,1,2015,1,Evolution,7,2015-2017,2,C++,BSD License,2,2015,2,671
s2,AccessAnalysis,yes,yes,2,1,0,1,2012,1,Initial development,4,2010-2012,2,Java,Eclipse Public License,2,2010,7,91
s3,APIExample,yes,no,4,3,0,1,2011-2016,5,Closedown,0,0,0,undefined,undefined,5,2011,6,0
s4,BEG,yes,no,9,4,3,2,2003-2015,12,Closedown,0,0,0,undefined,undefined,12,2003,14,0
s5,ccJava,no,no,5,2,0,3,2007-2010,3,Closedown,0,0,0,undefined,undefined,3,2007,10,0
s6,CIVL,yes,yes,5,4,0,1,2015-2017,2,Servicing,36,2013-2017,4,C,GNU General Public License,4,2013,4,2096
s7,CodeBoost,yes,yes,10,9,0,1,2003-2011,8,Initial development,7,2001-2004,3,C,GNU General Public License,10,2001,16,93
s8,CSL,yes,yes,6,3,1,2,2001-2009,8,Initial development,4,2005,1,C,undefined,8,2001,16,17
s9,CPA+,no,no,5,0,0,5,2008-2015,7,Closedown,0,0,0,undefined,undefined,7,2008,9,0
s10,CSeq,yes,yes,5,1,2,2,2013-2016,3,Initial development,4,0,0,C,BSD License,3,2013,4,106
s11,DDVerify,no,no,3,2,0,1,2007-2014,7,Closedown,0,0,0,undefined,undefined,7,2007,10,0
s12,Derailer,yes,yes,2,1,0,1,2014-2016,2,Initial development,2,2013-2014,1,Ruby,GNU General Public License,3,2013,4,0
s13,Diagnosys,no,no,1,0,0,1,2012,1,Closedown,0,0,0,undefined,undefined,1,2012,5,0
s14,DOMPLETION,yes,yes,2,1,0,1,2014-2015,1,Initial development,1,2014,1,Javascript,undefined,1,2014,3,0
s15,DRC,no,no,5,4,0,1,2013-2015,2,Closedown,0,0,0,undefined,undefined,2,2013,4,0
s16,EJB,yes,yes,4,1,1,2,2011-2017,6,Initial development,1,0,0,Java,undefined,6,2011,6,244
s17,e-munity,yes,yes,1,0,0,1,2014,1,Initial development,1,2014,1,C,undefined,1,2014,3,0
s18,Error Prone,yes,yes,2,0,1,1,2012-2015,3,Servicing,25,2015-2017,2,Java,Apache License,5,2012,5,2504
s19,ESBMC,no,no,40,14,18,8,2009-2017,8,Closedown,0,0,0,undefined,undefined,8,2009,8,0
s20,ETXL,no,no,1,0,0,1,2006,1,Closedown,0,0,0,undefined,undefined,1,2006,11,0
s21,FaultBuster,yes,yes,1,0,0,1,2015,1,Initial development,1,0,0,undefined,demo,1,2015,2,0
s22,Flowgen,yes,yes,3,2,0,1,2014-2016,2,Initial development,1,2017,1,Python,GNU General Public License,3,2014,3,0
s23,GRT,yes,no,8,3,2,3,2015-2017,2,Closedown,0,0,0,undefined,undefined,2,2015,2,0
s24,GUIZMO,yes,yes,1,0,0,1,2010,1,Phaseout,1,0,0,Java,Apache License,1,2010,7,306
s25,GumTree,yes,yes,19,5,10,4,2014-2017,3,Initial development,3,2013-2015,2,Java,GNU Lesser General Public License,4,2013,4,190
