projeto,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
s1,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-1,0-0-0,0-0-0
s2,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,1-0-1,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
s3,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-1,0-0-0,2-0-0,0-0-0,0-0-0,1-0-0,0-0-0
s4,0-0-0,0-0-0,0-0-1,0-1-0,0-0-0,1-1-0,1-1-0,0-0-0,0-0-0,1-0-1,0-0-0,0-0-0,0-0-0,0-0-0,1-0-0,0-0-0,0-0-0
s5,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,1-0-1,0-0-1,0-0-1,1-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
s6,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,2-0-1,0-0-0,2-0-0
s7,0-0-0,0-0-0,1-0-1,0-0-0,3-0-0,2-0-0,0-0-0,1-0-0,0-0-0,1-0-0,1-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
s8,0-0-1,0-0-0,0-0-0,1-0-0,1-0-0,1-0-1,0-0-0,0-0-0,0-1-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
s9,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-1,0-0-0,0-0-1,0-0-0,0-0-1,0-0-1,0-0-0,0-0-1,0-0-0,0-0-0
s10,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-1,0-0-0,0-1-1,1-1-0,0-0-0
s11,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-1,1-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,1-0-0,0-0-0,0-0-0,0-0-0
s12,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-1,0-0-0,1-0-0,0-0-0
s13,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-1,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0
s14,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-1,1-0-0,0-0-0,0-0-0
s15,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,1-0-1,2-0-0,1-0-0,0-0-0,0-0-0
s17,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-1,0-0-0,0-0-0,0-0-0
s16,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-1,0-0-0,1-0-1,0-0-0,0-0-0,0-0-0,0-1-0
s18,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-1,0-0-0,0-0-0,0-1-0,0-0-0,0-0-0
