id,version,released_at,total_modules,total_eloc
s1,0.1,2015-09-07,1969,180780
s1,0.2,2015-09-07,445,26515
s1,0.3,2015-09-06,726,35633
s1,0.3-sv-comp-2016,2015-11-08,733,36176
s1,0.4,2016-08-17,842,39863
s1,0.5-sv-comp-2017,2016-12-20,850,40604
s1,0.5,2017-02-11,671,27560
s2,1.2,2012-05-30,91,6464
s6,0.1,2013-05-01,121,7069
s6,0.2,2014-08-22,121,7464
s6,0.3,2013-11-20,153,11319
s6,0.4,2013-12-06,161,13204
s6,0.5,2014-01-17,211,19494
s6,0.6,2014-02-02,232,20699
s6,0.7,2014-02-08,241,23543
s6,0.8,2014-03-03,262,24753
s6,0.9,2014-03-15,279,26191
s6,0.9.1,2014-03-18,280,26377
s6,0.10,2014-03-28,302,27538
s6,0.11,2014-04-22,331,31341
s6,0.12,2014-07-22,489,44463
s6,0.13,2014-08-22,520,50229
s6,0.14,2014-10-31,566,54593
s6,0.15,2014-12-23,572,55675
s6,0.16,2015-01-06,574,56121
s6,0.17,2015-02-09,656,66589
s6,1.0,2015-04-18,745,73182
s6,1.1,2015-06-22,804,79118
s6,1.2,2015-07-13,1029,154786
s6,1.3,2015-07-23,1052,155942
s6,1.4,2015-08-11,1062,157284
s6,1.5,2015-11-11,1199,186814
s6,1.6,2016-01-15,1220,189271
s6,1.7,2016-04-02,1531,194856
s6,1.7.1,2016-05-31,1581,199139
s6,1.7.2,2016-10-05,1816,221910
s6,1.7.4,2017-03-10,1881,226261
s6,1.8,2017-04-18,1885,227032
s6,1.9,2017-05-25,2055,238384
s6,1.10,2017-06-23,2001,232268
s6,1.11,2017-07-07,2080,238497
s6,1.11.1,2017-08-08,2096,239917
s7,0.2.0,2001-12-13,15,287
s7,0.2.1-rc1,undefined,16,436
s7,0.2.1,2002-04-22,18,456
s7,0.2.2-rc1,undefined,44,1506
s7,0.2.2-rc2,undefined,46,1592
s7,0.2.2,2003-01-20,46,1592
s7,0.3.0,2004-05-06,93,551936
s8,0.1,undefined,10,11260
s8,0.2,undefined,12,13674
s8,0.3,undefined,17,17703
s8,0.4,2005-07-07,17,20197
s10,0.2,undefined,3,172
s10,0.3,undefined,3,171
s10,0.5,undefined,106,3626
s12,1.2,2013-10-18,0,0
