id,software,string de busca ACM,data da busca,resultados,string de busca IEEE,data da busca,resultados
s1,2LS,content.ftsec:(2LS) AND (order) AND (Logic) AND (Solving),Thu Aug  3 18:41:13 UTC 2017,11,(('2nd order Logic Solving') AND 2LS),Thu Aug  3 18:41:13 UTC 2017,26
s2,AccessAnalysis,content.ftsec:(+AccessAnalysis +Tool +Java +Modifiers),Sun Aug  6 21:45:40 UTC 2017,5,(AccessAnalysis),Sun Jul 30 15:46:57 UTC 2017,3
s3,APIExample,content.ftsec:(+APIExample +Java),Sun Aug  6 21:55:19 UTC 2017,10,((APIExample) AND Java),Sun Aug  6 21:52:02 UTC 2017,6
s4,BEG,content.ftsec:(+"Bandera environment generator" +BEG),Sun Aug  6 22:03:30 UTC 2017,4,(("Bandera environment generator") AND BEG),Sun Aug  6 21:59:37 UTC 2017,6
s5,ccJava,content.ftsec:(+ccJava),Sun Aug  6 22:14:24 UTC 2017,4,(ccJava),Sun Aug  6 22:11:43 UTC 2017,3
s6,CIVL,content.ftsec:(+civl +concurrency +intermediate +verification +language),Wed Aug  2 15:30:50 UTC 2017,6,(('concurrency intermediate verification') AND CIVL),Wed Aug  2 15:30:50 UTC 2017,2
s7,CodeBoost,content.ftsec:(+CodeBoost +"C++" +Tool),Sun Aug  6 22:27:12 UTC 2017,16,((CodeBoost) AND C++),Sun Aug  6 22:23:40 UTC 2017,9
s8,CSL,content.ftsec:(+composite +"Action Language Verifier"),Wed Aug  2 19:26:52 UTC 2017,7,((((composite) AND bultan) AND Action Language Verifier) OR ("Composite Symbolic Library")),Wed Aug  2 19:26:52 UTC 2017,7
s9,CPA+,content.ftsec:(+cpa +dbeyer),Wed Aug  2 19:50:32 UTC 2017,4,(('program analysis') AND cpa+),Wed Aug  2 19:50:32 UTC 2017,4
s10,CSeq,content.ftsec:(+cseq +sequential +verification +tool),Thu Aug  3 04:11:32 UTC 2017,12,((CSeq) AND soton),Thu Aug  3 04:11:32 UTC 2017,4
s11,DDVerify,content.ftsec:(+DDVerify),Thu Aug  3 14:05:46 UTC 2017,2,(DDVerify),Thu Aug  3 14:05:46 UTC 2017,2
s12,Derailer,content.ftsec:(+Derailer +analysis +security +web +tool +bugs +ruby),Thu Aug  3 14:56:34 UTC 2017,6,((Derailer) AND jnear),Thu Aug  3 14:56:34 UTC 2017,1
s13,Diagnosys,content.ftsec:(+"Diagnosys tool" +Debugging +Linux +"device drivers"),Thu Aug  3 15:25:46 UTC 2017,6,((Diagnosys) AND debugging),Thu Aug  3 15:25:46 UTC 2017,3
s14,DOMPLETION,content.ftsec:(+dompletion +JavaScript),Sun Aug  6 23:36:08 UTC 2017,1,((dompletion) AND JavaScript),Sun Aug  6 23:36:08 UTC 2017,1
s15,DRC,content.ftsec:(+DRC +Dangling +Reference),Thu Aug  3 05:18:13 UTC 2017,15,(DRC Dangling Reference Checker),Thu Aug  3 05:18:13 UTC 2017,4
s17,e-munity,content.ftsec:(+"e-munity"),Sun Aug  6 23:45:28 UTC 2017,0,(e-munity),Sun Aug  6 23:45:28 UTC 2017,1
s16,EJB,content.ftsec:(+I2SD +Java),Mon Aug  7 00:25:11 UTC 2017,1,(((I2SD) AND EJB) AND Java),Mon Aug  7 00:25:11 UTC 2017,4
s18,Error Prone,content.ftsec:(+"error-prone" +tool +javac +analysis +"java compiler"),Mon Aug  7 00:44:38 UTC 2017,23,((((('error-prone tool') AND Analysis) AND 'java compiler') AND 'error checks') AND javac),Mon Aug  7 00:44:38 UTC 2017,24
